Alpha,Beta,Group Fairness,Individual Fairness,Accuracy,Demographic Parity Difference,Equalized Odds Difference,Theil Index,Gini Coefficient,Train Time (s),Trained This Run
0.005,0.5,equal_opportunity_difference,theil_index,0.79,0.22,1.0,0.13,0.68,0.855,True
0.005,0.5,equal_opportunity_difference,generalized_entropy_index,0.78,0.23,1.0,0.14,0.71,0.841,True
0.005,0.5,equal_opportunity_difference,atkinson_index,0.79,0.23,1.0,0.12,0.67,0.848,True
0.005,0.5,equal_opportunity_difference,gini_coefficient,0.78,0.21,1.0,0.13,0.7,0.838,True
0.005,0.5,disparate_impact_difference,theil_index,0.79,0.22,1.0,0.13,0.69,0.575,True
0.005,0.5,disparate_impact_difference,generalized_entropy_index,0.79,0.21,1.0,0.13,0.69,0.581,True
0.005,0.5,disparate_impact_difference,atkinson_index,0.83,0.29,1.0,0.09,0.61,0.571,True
0.005,0.5,disparate_impact_difference,gini_coefficient,0.83,0.28,1.0,0.1,0.62,0.568,True
0.005,0.75,demographic_parity_difference,theil_index,0.81,0.25,1.0,0.11,0.65,0.569,True
0.005,0.75,demographic_parity_difference,generalized_entropy_index,0.81,0.26,1.0,0.11,0.65,0.573,True
0.005,0.75,demographic_parity_difference,atkinson_index,0.72,0.3,0.51,0.19,0.79,0.566,True
0.005,0.75,demographic_parity_difference,gini_coefficient,0.83,0.28,1.0,0.09,0.62,0.573,True
0.005,0.75,equalized_odds_difference,theil_index,0.73,0.33,0.56,0.18,0.78,1.219,True
0.005,0.75,equalized_odds_difference,generalized_entropy_index,0.75,0.34,0.6,0.16,0.76,1.236,True
0.005,0.75,equalized_odds_difference,atkinson_index,0.77,0.21,1.0,0.14,0.71,1.208,True
0.005,0.75,equalized_odds_difference,gini_coefficient,0.81,0.25,1.0,0.11,0.65,1.216,True
0.005,0.75,equal_opportunity_difference,theil_index,0.83,0.29,1.0,0.09,0.61,0.834,True
0.005,0.75,equal_opportunity_difference,generalized_entropy_index,0.74,0.33,0.57,0.17,0.77,0.842,True
0.005,0.75,equal_opportunity_difference,atkinson_index,0.75,0.34,0.59,0.17,0.77,0.848,True
0.005,0.75,equal_opportunity_difference,gini_coefficient,0.77,0.22,1.0,0.15,0.73,0.846,True
0.005,0.75,disparate_impact_difference,theil_index,0.82,0.27,1.0,0.1,0.63,0.57,True
0.005,0.75,disparate_impact_difference,generalized_entropy_index,0.79,0.22,1.0,0.13,0.69,0.582,True
0.005,0.75,disparate_impact_difference,atkinson_index,0.78,0.22,1.0,0.13,0.7,0.576,True
0.005,0.75,disparate_impact_difference,gini_coefficient,0.77,0.24,1.0,0.15,0.72,0.578,True
0.005,1.0,demographic_parity_difference,theil_index,0.74,0.34,0.59,0.17,0.77,0.574,True
0.005,1.0,demographic_parity_difference,generalized_entropy_index,0.8,0.24,1.0,0.11,0.66,0.597,True
0.005,1.0,demographic_parity_difference,atkinson_index,0.79,0.22,1.0,0.13,0.69,0.576,True
0.005,1.0,demographic_parity_difference,gini_coefficient,0.8,0.23,1.0,0.12,0.67,0.585,True
0.005,1.0,equalized_odds_difference,theil_index,0.82,0.26,1.0,0.1,0.64,1.23,True
0.005,1.0,equalized_odds_difference,generalized_entropy_index,0.81,0.25,1.0,0.11,0.65,1.239,True
